ETC,DEPARTAMENTO,MUNICIPIO,AÑO,CÓDIGO_MUNICIPIO,CÓDIGO_DEPARTAMENTO,CÓDIGO_ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
NACIONAL,NACIONAL,NACIONAL,2019,0,0,0,9488850,0.9255,0.9235,0.637,0.9003,0.7856,0.4529,10448.0,0.9392,10936.0,11065.0,0.8584,-1269.3070947231133,0.0313,0.0367,0.0257,0.0392,0.0253,0.911,0.0056,0.9284,0.874,0.9244,0.0578,0.0459,0.0868,0.0503,0.0222,0.0064,0.0208,0.0309,0.0114
Soledad,Atlántico,Soledad,2011,8758,8,3765,130302,77.12,76.8,53.4,77.8,60.0,34.6,82.2,88.6,95.3,77.3,55.4,73.33,2.13,4.92,1.83,1.95,2.06,97.31,0.23,97.79,97.27,96.99,0.57,0.38,0.78,0.95,1.91,1.24,1.69,2.56,1.07
Atlántico (ETC),Atlántico,Suan,2011,8770,8,3764,2107,95.25,95.3,70.4,98.5,70.3,43.6,105.8,95.7,127.9,102.7,65.2,66.67,1.14,0.65,2.27,0.04767564189621254,0.06155974300603617,97.96,0.0,95.95,100.0,99.58,0.9,1.78,0.0,0.42,0.62,0.0,1.28,0.0,0.0
Atlántico (ETC),Atlántico,Tubará,2011,8832,8,3764,2424,86.3,86.3,53.5,91.9,59.8,33.1,105.6,92.0,129.5,92.6,77.8,63.64,4.04,2.17,3.9,4.43,5.19,94.74,0.0,94.91,94.3,92.64,1.21,1.19,1.27,2.16,0.09,0.0,0.08,0.16,0.0
Atlántico (ETC),Atlántico,Usiacurí,2011,8849,8,3764,2068,77.76,77.8,47.8,79.9,59.8,45.9,85.7,53.9,91.6,88.6,81.5,40.0,1.9,1.495231881956439,2.18,2.15,1.21,91.8,0.0,93.22,86.5,94.76,6.3,4.6,11.35,4.03,2.02,0.0,1.45,3.91,0.81
"Bogotá, D.C. (ETC)","Bogotá, D.C.","Bogotá, D.C.",2011,11001,11,3766,1479334,90.7,90.3,68.6,87.0,84.7,55.0,97.8,82.0,97.9,106.5,87.8,94.21,3.95,10.05,5.3,1.96,2.55,96.05,0.0,94.69,98.04,97.45,0.0,0.0,0.0,0.0,4.75013102041104,1.05,6.49,4.351115735609426,-0.8424288620816043
Cartagena,Bolívar,Cartagena,2011,13001,13,4910,215302,97.82,97.5,65.4,96.2,78.4,51.3,118.0,100.2,129.7,120.3,93.5,56.15,2.23,1.91,2.13,2.41,2.3,93.29,0.67,94.27,91.71,91.6,4.48,3.6,5.88,6.09,1.17,0.4,1.02,1.72,0.66
Bolívar (ETC),Bolívar,Achí,2011,13006,13,3767,5486,112.52,112.3,50.3,111.0,67.4,27.2,146.5,118.3,173.0,145.2,96.7,28.95,4.55,2.1728334265331135,1.83,10.21,5.17,94.97,0.55,97.92,89.21,93.33,0.48,0.25,0.57,1.5,0.79,0.37,0.5,1.53,0.33
Bolívar (ETC),Bolívar,Altos del Rosario,2011,13030,13,3767,3275,81.68,81.7,44.7,84.8,41.5,15.8,96.2,81.8,127.3,85.9,43.5,16.67,1.1,0.9072745219691107,0.58,2.09,2.55,98.87,0.0,99.42,97.91,96.94,0.03,0.0,0.0,0.51,4.38,2.22,5.49,2.67,4.59
Bolívar (ETC),Bolívar,Arenal,2011,13042,13,3767,5139,39.31,39.3,26.8,39.7,25.9,12.5,43.9,31.8,54.0,41.4,28.5,11.11,4.73,3.7,2.51,6.9,11.46,95.04,0.0,97.49,92.48,88.02,0.23,0.0,0.61,0.52,3.04,0.0,4.5,1.53,1.56
