ETC,DEPARTAMENTO,MUNICIPIO,AÑO,CÓDIGO_MUNICIPIO,CÓDIGO_DEPARTAMENTO,CÓDIGO_ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
Medellín,Antioquia,Medellín,2023,5001,5,3759,377562,96.15,95.94,81.42,94.01,83.58,57.69,107.16,94.23,105.58,115.53,100.69,79.05948274332854,5.4,4.84,4.85,6.75,3.93,85.37,0.15,88.95,77.84,88.8,9.23,6.21,15.4,7.27,9.25,1.82,8.34,13.69,4.48
Antioquia (ETC),Antioquia,Abejorral,2023,5002,5,3758,3634,74.38,74.38,50.55,74.32,63.78,40.95,81.54,65.93,87.91,83.4,69.68,46.253311301287795,4.15,3.33,2.86,6.36,3.03,88.08,0.56,89.88,82.7,92.56,7.77,7.26,10.93,4.41,9.07,1.67,10.28,11.32,2.2
Antioquia (ETC),Antioquia,Abriaquí,2023,5004,5,3758,503,62.62,62.62,44.19,63.33,51.53,40.23,66.8,58.14,72.86,66.87,56.32,41.258863366884725,1.19,0.0,1.31,0.0,4.08,92.26,0.0,96.73,83.49,93.88,6.55,1.96,16.51,2.04,9.52,0.0,10.46,13.76,2.04
Antioquia (ETC),Antioquia,Alejandría,2023,5021,5,3758,864,81.37,81.37,61.45,73.21,77.74,73.08,85.19,75.9,79.31,90.88,96.15,50.941804360069,3.26,1.59,1.67,6.02,2.4,88.86,0.0,91.3,80.32,95.2,7.88,7.02,13.65,2.4,7.2,1.59,7.69,11.65,0.0
Antioquia (ETC),Antioquia,Amagá,2023,5030,5,3758,5060,78.3,78.3,67.65,76.96,65.61,38.82,89.21,84.69,88.94,94.72,81.27,50.041086072700864,4.33,4.37,3.12,6.32,3.04,84.95,0.0,87.25,77.2,91.46,10.71,9.63,16.48,5.5,12.08,0.29,11.54,18.48,3.98
Antioquia (ETC),Antioquia,Amalfi,2023,5031,5,3758,5762,70.95,70.95,58.13,65.29,59.85,32.71,79.47,74.61,81.78,85.23,64.29,47.580868397395534,2.6,1.49,2.37,2.63,4.63,87.43,1.79,87.96,84.67,87.92,9.96,9.68,12.7,7.46,10.41,2.39,14.87,8.46,2.83
Antioquia (ETC),Antioquia,Andes,2023,5034,5,3758,7672,80.9,80.9,61.59,76.57,67.41,37.05,91.44,76.03,93.59,99.84,76.9,47.88576554774204,4.85,5.01,3.99,6.28,3.9,87.26,0.84,89.09,81.51,92.7,7.89,6.91,12.21,3.4,11.81,2.09,12.92,14.98,4.4
Antioquia (ETC),Antioquia,Angelópolis,2023,5036,5,3758,1017,81.32,81.32,62.96,79.19,72.51,44.32,99.8,80.25,91.15,111.99,105.68,45.15528456058746,4.48,3.08,4.31,5.96,1.8,88.1,0.0,93.26,77.48,94.59,7.42,2.43,16.56,3.6,11.31,1.54,10.51,18.54,0.0
Antioquia (ETC),Antioquia,Angostura,2023,5038,5,3758,2401,69.26,69.26,43.59,67.67,56.49,42.96,76.8,59.49,81.78,78.37,69.6,42.23622457146371,3.97,3.45,3.06,5.8,2.99,92.63,0.0,91.68,91.74,96.15,3.4,5.26,2.46,0.85,6.97,3.45,10.65,4.57,1.71
Antioquia (ETC),Antioquia,Anorí,2023,5040,5,3758,4477,71.72,71.72,45.9,69.16,60.85,35.14,76.95,66.15,84.79,78.23,58.71,40.39028775907627,6.07,2.33,4.72,9.11,5.38,90.21,0.0,91.42,87.13,89.24,3.72,3.86,3.77,5.38,5.81,2.33,7.35,5.69,2.2
Antioquia (ETC),Antioquia,Santafé de Antioquia,2023,5042,5,3758,5023,94.33,94.33,76.87,87.61,80.36,50.65,102.23,91.54,103.04,114.11,81.42,54.22226276486481,4.13,3.37,3.31,6.06,1.64,82.95,0.0,87.47,73.34,88.69,12.92,9.23,20.59,9.67,11.32,2.15,11.3,15.21,4.92
Antioquia (ETC),Antioquia,Anza,2023,5044,5,3758,1494,81.93,81.93,58.54,79.59,68.35,36.21,92.7,85.37,98.42,101.01,64.61,53.42098547822923,5.53,2.86,6.11,6.24,2.42,81.85,0.0,78.14,79.68,95.16,12.62,15.76,14.09,2.42,9.27,0.95,10.77,11.09,2.42
Apartado,Antioquia,Apartadó,2023,5045,5,7692,28391,91.17,91.16,64.67,84.45,77.96,58.34,104.53,91.54,99.15,112.92,107.81,69.18662261636803,4.14,3.44,3.1,5.63,4.02,87.88,0.0,91.41,82.02,86.88,7.98,5.49,12.35,9.1,8.12,1.43,7.16,11.94,4.99
Antioquia (ETC),Antioquia,Arboletes,2023,5051,5,3758,7592,89.65,89.65,56.73,79.18,76.01,50.17,104.1,83.21,98.66,118.04,101.47,47.320163844632134,3.49,1.31,3.06,4.16,4.3,91.17,0.0,92.15,88.21,91.8,5.34,4.79,7.63,3.89,9.66,1.31,11.09,11.56,4.5
Antioquia (ETC),Antioquia,Argelia,2023,5055,5,3758,1686,75.56,75.56,72.46,71.1,72.15,39.11,79.77,77.54,81.02,88.27,59.78,44.7724619641067,4.46,1.87,4.37,5.16,4.32,90.04,0.0,91.61,86.11,91.36,5.5,4.02,8.73,4.32,7.81,0.93,9.09,9.13,3.7
Antioquia (ETC),Antioquia,Armenia,2023,5059,5,3758,795,49.18,49.18,28.57,43.15,50.76,26.52,56.1,36.51,48.81,72.35,51.52,47.55244532056281,2.23,4.35,2.44,2.44,0.0,88.83,0.0,92.68,81.71,96.15,8.93,4.88,15.85,3.85,15.14,0.0,4.88,29.88,7.69
Antioquia (ETC),Antioquia,Barbosa,2023,5079,5,3758,8520,81.47,81.47,66.17,78.54,69.12,46.36,90.52,84.21,89.69,98.55,79.74,47.81264169880478,5.19,4.24,3.98,7.31,3.98,87.09,0.2,90.54,79.66,91.05,7.72,5.48,13.03,4.97,9.89,1.62,8.83,15.13,3.97
Antioquia (ETC),Antioquia,Belmira,2023,5086,5,3758,1344,84.82,84.82,64.08,78.58,73.38,51.75,95.46,71.84,89.84,104.33,101.75,45.67761918644101,3.56,0.0,4.24,3.64,3.02,91.71,0.0,90.1,89.75,96.98,4.72,5.66,6.61,0.0,7.21,0.0,7.88,9.11,4.02
Bello,Antioquia,Bello,2023,5088,5,3760,86977,89.91,89.85,73.82,88.65,76.56,48.41,100.04,86.56,101.72,107.85,87.47,60.034373181232354,5.21,5.1,4.73,6.35,3.79,84.15,0.81,87.01,77.06,88.54,10.64,8.26,16.6,7.66,11.24,2.81,9.41,17.38,5.12
Antioquia (ETC),Antioquia,Betania,2023,5091,5,3758,2143,64.54,64.54,52.98,63.43,48.09,27.73,70.18,60.71,80.7,70.77,47.34,41.64822171095898,6.27,4.9,7.56,5.98,1.99,88.22,0.0,86.27,87.18,96.03,5.51,6.16,6.84,1.99,8.08,1.96,11.47,6.62,0.66
Antioquia (ETC),Antioquia,Betulia,2023,5093,5,3758,3444,79.07,79.07,69.68,80.77,66.41,37.15,86.96,82.31,92.89,91.75,64.44,44.66557402072067,3.42,1.75,1.73,5.94,3.97,92.39,0.0,93.02,89.45,94.7,4.19,5.25,4.61,1.32,10.32,0.0,9.68,16.19,1.99
Antioquia (ETC),Antioquia,Ciudad Bolívar,2023,5101,5,3758,4906,77.01,76.99,62.02,71.85,65.29,39.93,90.11,80.36,87.84,99.16,81.93,51.22293463316851,8.02,6.71,5.26,12.78,4.51,83.48,0.35,87.17,74.67,90.74,8.5,7.56,12.56,4.74,15.24,4.59,13.73,22.17,6.32
Antioquia (ETC),Antioquia,Briceño,2023,5107,5,3758,1970,66.24,66.24,44.12,60.83,48.61,27.18,83.55,57.06,87.22,93.96,66.34,34.56351952596401,4.73,2.06,3.35,7.49,4.96,89.26,0.0,90.54,84.78,90.91,6.01,6.11,7.73,4.13,7.06,1.03,9.32,6.79,0.0
Antioquia (ETC),Antioquia,Buriticá,2023,5113,5,3758,2080,80.24,80.24,61.96,77.47,65.19,30.06,88.03,76.63,95.29,95.28,59.51,44.2247217447175,6.89,2.13,5.53,10.12,6.13,85.15,0.0,88.94,75.62,89.57,7.97,5.53,14.26,4.29,12.24,0.71,12.47,16.75,4.29
Antioquia (ETC),Antioquia,Cáceres,2023,5120,5,3758,8010,82.3,82.3,49.11,75.34,65.96,38.38,95.93,77.99,99.69,104.46,77.27,49.27797237705113,5.66,3.0,4.99,7.66,4.65,86.28,0.0,85.28,83.74,90.84,8.06,9.72,8.6,4.5,11.9,2.29,15.62,11.02,3.9
Antioquia (ETC),Antioquia,Caicedo,2023,5125,5,3758,1821,82.43,82.43,64.78,76.09,70.81,45.83,96.71,78.62,87.53,114.26,95.14,42.004065320004656,3.78,3.2,3.38,5.23,1.49,90.72,0.0,91.04,86.85,96.52,5.51,5.58,7.93,1.99,7.49,0.0,12.19,5.95,0.5
Antioquia (ETC),Antioquia,Caldas,2023,5129,5,3758,11490,96.28,96.07,89.16,94.6,83.67,58.08,103.92,103.8,105.73,109.01,90.38,53.92958959945304,6.73,4.81,4.85,8.92,7.78,86.56,0.31,88.06,82.8,87.72,6.72,7.08,8.28,4.5,10.39,2.17,9.8,15.01,4.14
Antioquia (ETC),Antioquia,Campamento,2023,5134,5,3758,2217,65.4,65.4,43.68,63.08,50.2,30.58,73.21,55.75,79.48,75.76,60.33,43.10403773139933,2.6,1.03,1.78,4.95,0.0,90.45,1.03,88.39,88.57,100.0,6.95,9.84,6.48,0.0,9.94,1.03,13.39,9.71,1.62
Antioquia (ETC),Antioquia,Cañasgordas,2023,5138,5,3758,3155,83.14,83.14,57.48,77.79,71.75,49.23,91.28,64.96,90.6,102.45,83.08,45.18424126254399,4.89,3.64,4.18,7.04,1.88,89.9,0.0,91.72,84.34,96.25,5.22,4.1,8.62,1.88,8.24,2.42,8.28,11.6,1.61
Antioquia (ETC),Antioquia,Caracolí,2023,5142,5,3758,765,86.01,86.01,52.94,77.74,81.2,50.42,101.57,58.82,92.68,128.4,94.12,46.5996021099636,5.9,2.5,5.7,7.92,2.17,89.78,0.0,88.59,88.3,94.57,4.32,5.7,3.77,3.26,8.35,2.5,13.42,5.66,2.17
Antioquia (ETC),Antioquia,Caramanta,2023,5145,5,3758,759,81.42,81.42,56.14,72.93,78.52,53.79,86.56,70.18,89.49,89.06,81.82,46.729473903499866,3.05,2.5,2.14,4.39,2.8,93.9,0.0,92.88,94.3,94.39,3.05,4.98,1.32,2.8,5.78,2.5,8.54,4.39,2.78
Antioquia (ETC),Antioquia,Carepa,2023,5147,5,3758,12257,91.03,91.03,57.4,84.0,79.65,50.67,101.76,95.33,99.65,113.51,86.32,49.9484566204228,3.4,2.73,2.82,4.61,2.38,89.54,0.0,93.11,82.92,90.86,7.07,4.07,12.47,6.77,8.23,3.6,8.15,11.11,3.24
Antioquia (ETC),Antioquia,El Carmen de Viboral,2023,5148,5,3758,11145,93.5,93.41,85.26,91.93,82.78,49.97,98.98,92.68,102.31,107.7,76.41,52.97807977534546,4.19,2.36,3.24,6.07,3.43,87.85,0.25,89.12,82.36,92.97,7.96,7.64,11.57,3.6,10.15,0.87,8.64,16.1,4.37
Antioquia (ETC),Antioquia,Carolina,2023,5150,5,3758,571,83.19,83.19,94.74,91.93,60.1,42.99,91.42,126.32,108.97,76.35,71.03,50.66098035380992,2.87,4.17,2.47,3.23,2.63,82.76,0.0,92.59,67.1,75.0,14.37,4.94,29.68,22.37,11.11,0.0,12.76,15.48,3.95
Antioquia (ETC),Antioquia,Caucasia,2023,5154,5,3758,22190,88.17,88.13,58.41,81.32,74.77,49.17,98.1,80.43,99.07,105.15,90.35,52.5334156091202,3.77,2.55,3.08,5.48,2.23,87.14,0.0,89.4,80.86,89.99,9.09,7.52,13.66,7.79,10.56,1.28,10.24,14.66,5.75
Antioquia (ETC),Antioquia,Chigorodó,2023,5172,5,3758,14723,89.93,89.93,70.92,84.0,77.43,53.9,97.91,86.92,99.13,104.93,85.73,47.47647262844475,5.39,2.51,3.95,7.64,5.87,87.47,0.31,91.55,79.94,88.5,7.14,4.5,12.43,5.63,8.75,0.84,8.9,11.99,3.77
Antioquia (ETC),Antioquia,Cisneros,2023,5190,5,3758,1700,79.65,79.65,77.61,75.07,72.79,54.42,88.29,89.55,83.0,98.09,80.92,47.25070454032834,6.67,9.17,5.8,7.76,4.97,84.97,0.0,88.23,78.83,86.74,8.36,5.97,13.42,8.29,6.6,0.0,4.95,11.11,4.42
Antioquia (ETC),Antioquia,Cocorná,2023,5197,5,3758,3068,102.41,102.41,85.2,100.15,96.16,47.36,111.93,98.19,112.64,129.12,82.03,49.687364340152726,4.5,3.31,3.54,5.79,5.16,88.61,0.74,90.57,84.0,89.97,6.9,5.88,10.21,4.87,7.56,0.74,7.82,9.79,4.3
Antioquia (ETC),Antioquia,Concepción,2023,5206,5,3758,836,76.44,76.44,49.3,75.85,69.18,47.76,81.7,59.15,83.24,88.53,75.37,40.44236447710182,2.05,2.38,1.02,3.66,0.99,96.19,0.0,97.61,94.31,96.04,1.76,1.37,2.03,2.97,5.56,0.0,6.48,7.69,0.0
Antioquia (ETC),Antioquia,Concordia,2023,5209,5,3758,4108,63.07,63.07,58.52,58.89,49.19,29.99,71.2,69.13,75.52,72.87,58.56,45.14831441568617,5.86,3.72,5.3,7.77,4.06,86.2,0.0,86.91,81.01,91.3,7.94,7.79,11.22,4.64,12.95,0.47,15.9,14.12,6.96
Antioquia (ETC),Antioquia,Copacabana,2023,5212,5,3758,11635,103.33,103.31,80.54,103.57,90.96,63.82,112.24,98.53,115.01,119.11,99.11,54.92482015993289,4.03,4.41,3.53,5.34,2.2,87.1,0.61,91.54,78.54,91.5,8.87,4.94,16.12,6.29,9.13,2.28,7.03,15.43,3.05
Antioquia (ETC),Antioquia,Dabeiba,2023,5234,5,3758,6157,82.31,82.31,54.53,75.64,56.91,35.22,94.38,77.01,103.54,95.95,73.56,46.64034172018091,6.79,3.49,5.41,10.61,6.14,84.95,0.0,84.58,80.31,91.01,8.26,10.01,9.08,2.85,13.27,1.53,15.55,14.59,6.36
Antioquia (ETC),Antioquia,Don Matías,2023,5237,5,3758,3702,95.92,95.92,75.84,90.49,86.55,48.25,106.27,95.64,105.05,122.74,81.59,49.518358517537536,9.25,10.61,6.09,12.49,10.12,81.37,0.0,87.25,73.08,80.06,9.38,6.66,14.43,9.82,10.22,1.63,9.55,14.26,5.06
Antioquia (ETC),Antioquia,Ebéjico,2023,5240,5,3758,1942,69.82,69.82,50.34,60.6,65.72,39.39,79.2,68.03,72.9,90.27,76.97,47.4072854063736,5.34,4.0,4.48,7.08,3.7,88.37,2.0,88.47,85.66,92.59,6.29,7.06,7.26,3.7,11.29,1.0,11.88,15.22,4.17
Antioquia (ETC),Antioquia,El Bagre,2023,5250,5,3758,14443,89.28,89.28,49.65,79.96,74.28,49.31,101.6,84.55,102.38,108.4,94.61,47.48854938192176,5.28,3.8,3.74,7.41,5.71,87.68,0.1,90.67,82.41,86.61,7.04,5.59,10.18,7.68,9.06,1.9,10.91,9.77,4.27
Antioquia (ETC),Antioquia,Entrerrios,2023,5264,5,3758,2253,82.16,82.16,73.68,81.89,67.91,49.87,89.92,87.37,90.78,94.92,78.98,51.3699655341386,1.72,4.42,1.58,1.89,0.0,88.28,0.0,90.19,79.72,97.66,10.0,8.23,18.4,2.34,10.3,0.88,8.54,18.87,1.75
Envigado,Antioquia,Envigado,2023,5266,5,3761,27332,101.96,99.68,65.43,95.9,92.57,64.79,107.71,97.47,106.08,114.18,103.65,57.480767933471725,3.17,2.24,2.76,3.97,2.57,86.49,0.25,92.32,78.13,88.6,10.35,4.92,17.9,8.83,9.17,1.24,6.62,14.92,4.37
Antioquia (ETC),Antioquia,Fredonia,2023,5282,5,3758,3841,62.95,62.95,46.85,55.19,53.45,37.2,72.43,62.24,66.15,81.08,74.11,42.74007042129392,6.54,6.74,5.71,8.41,3.95,89.94,0.0,89.85,87.7,94.21,3.53,4.43,3.89,1.84,9.03,3.93,9.66,11.99,2.37
Antioquia (ETC),Antioquia,Frontino,2023,5284,5,3758,4870,89.22,89.22,55.05,86.29,60.57,37.06,102.38,76.34,114.96,100.91,84.16,55.08062245519625,5.97,3.94,5.95,7.19,4.02,80.03,0.28,78.1,76.44,89.06,14.0,15.95,16.37,6.92,15.27,0.85,18.55,16.59,4.46
Antioquia (ETC),Antioquia,Giraldo,2023,5306,5,3758,1208,101.16,101.16,73.58,95.23,90.86,48.37,113.08,94.34,110.5,127.92,99.46,53.01672071500866,4.83,3.0,1.21,9.87,5.11,87.32,0.0,92.23,80.04,83.21,7.84,6.56,10.09,11.68,13.79,0.0,9.67,25.11,4.38
Antioquia (ETC),Antioquia,Girardota,2023,5308,5,3758,8181,91.27,91.04,71.69,84.63,81.97,54.22,99.55,83.41,97.06,111.97,88.85,55.467310222071546,5.97,6.87,5.94,7.08,2.85,83.39,0.3,85.52,75.66,93.22,10.64,8.53,17.26,3.92,12.22,1.49,10.88,18.6,4.04
Antioquia (ETC),Antioquia,Gómez Plata,2023,5310,5,3758,1705,67.74,67.74,66.41,58.24,64.86,35.56,76.48,77.34,68.47,89.98,67.96,47.212153391018546,3.29,3.03,2.9,3.56,3.77,87.26,0.0,90.04,81.34,90.57,9.45,7.05,15.09,5.66,11.67,0.0,11.2,16.14,6.92
Antioquia (ETC),Antioquia,Granada,2023,5313,5,3758,2197,78.2,78.2,63.24,78.81,65.42,42.81,84.02,70.1,90.95,85.59,68.81,42.37497778998795,4.31,4.2,2.38,7.95,2.6,90.76,0.0,92.76,84.45,96.35,4.93,4.86,7.6,1.04,8.29,1.4,9.28,11.13,0.52
Antioquia (ETC),Antioquia,Guadalupe,2023,5315,5,3758,1318,66.62,66.62,57.84,58.75,56.1,39.19,74.81,62.75,69.8,86.25,69.37,47.39571274852733,2.37,1.56,0.53,3.44,5.19,89.32,0.0,91.29,85.96,88.15,8.31,8.18,10.6,6.67,10.9,4.69,12.4,11.17,8.89
Antioquia (ETC),Antioquia,Guarne,2023,5318,5,3758,8599,85.3,85.3,71.23,85.27,73.78,43.64,94.79,87.11,97.01,100.78,81.67,52.18386219221759,5.78,6.11,5.61,6.85,3.15,84.4,0.0,86.4,76.93,91.05,9.82,7.99,16.22,5.8,10.12,2.38,9.71,14.39,5.17
Antioquia (ETC),Antioquia,Guatape,2023,5321,5,3758,1405,107.76,107.76,92.31,105.61,90.56,72.22,116.65,105.13,115.65,119.53,119.23,54.96070614525286,4.43,5.69,3.82,5.26,3.73,89.02,0.0,90.29,86.35,88.38,6.55,5.88,8.38,7.88,6.87,3.25,5.59,10.72,4.15
Antioquia (ETC),Antioquia,Heliconia,2023,5347,5,3758,858,79.02,79.02,60.94,73.78,64.65,44.67,91.61,76.56,89.05,97.64,92.0,41.6772668692804,7.34,2.04,5.18,12.89,2.78,90.58,0.0,92.88,83.98,96.3,2.08,1.94,3.13,0.93,12.72,0.0,14.24,17.51,2.78
Antioquia (ETC),Antioquia,Hispania,2023,5353,5,3758,971,84.45,84.45,70.73,80.54,58.26,35.19,104.02,79.27,103.69,125.55,74.69,43.278223847983554,13.21,10.77,11.31,20.22,1.25,79.14,0.0,80.15,70.41,95.0,7.65,8.54,9.36,3.75,13.95,1.54,19.1,10.86,8.75
Itagüí,Antioquia,Itagüí,2023,5360,5,3762,39694,90.2,89.83,72.19,86.34,79.28,59.57,99.23,91.19,96.43,105.19,98.04,53.264337930679176,4.73,4.35,3.72,6.43,3.61,88.77,0.1,92.26,82.99,90.0,6.5,4.02,10.58,6.38,8.49,3.16,6.86,12.95,4.75
Antioquia (ETC),Antioquia,Ituango,2023,5361,5,3758,5229,68.25,68.25,47.14,64.47,57.74,34.15,77.89,62.38,80.38,82.37,69.93,40.12575584036426,3.96,3.05,3.09,5.23,4.1,92.33,0.0,92.39,91.55,91.8,3.71,4.52,3.21,4.1,7.46,1.53,11.38,5.53,2.15
Antioquia (ETC),Antioquia,Jardín,2023,5364,5,3758,2464,85.71,85.71,65.13,78.76,75.03,64.44,97.24,83.59,90.46,105.52,103.58,47.20725088390486,3.55,1.84,2.18,5.12,4.42,88.11,0.0,90.97,82.26,88.57,8.35,6.86,12.61,7.01,6.59,0.61,9.02,6.7,3.12
Antioquia (ETC),Antioquia,Jericó,2023,5368,5,3758,2130,75.35,75.35,59.15,72.61,61.7,53.28,85.16,78.05,82.28,86.87,91.8,47.07805733794294,2.28,3.13,1.96,2.85,1.54,91.53,0.0,92.17,88.08,94.62,6.19,5.87,9.07,3.85,8.04,2.34,9.23,10.32,2.68
Antioquia (ETC),Antioquia,La Ceja,2023,5376,5,3758,10830,91.21,91.13,83.61,90.3,77.93,58.18,103.59,92.64,99.11,104.26,117.34,49.98775586465149,2.65,1.96,2.35,3.48,1.85,88.8,0.16,92.03,81.34,92.85,8.55,5.62,15.17,5.3,8.02,2.29,7.94,10.81,4.03
La estrella(ETC),Antioquia,La Estrella,2023,5380,5,7738,10676,125.77,125.01,92.71,126.87,110.81,79.3,133.72,120.24,139.94,137.22,118.96,83.57624791912042,3.01,5.28,2.71,3.11,2.63,87.47,1.51,90.99,81.89,88.3,9.52,6.29,15.0,9.06,10.27,3.27,7.28,16.52,7.06
Antioquia (ETC),Antioquia,La Pintada,2023,5390,5,3758,1551,81.69,81.69,75.42,81.54,59.7,41.97,91.94,99.15,94.54,98.13,70.8,51.86507333374698,4.47,0.85,5.77,3.1,6.13,83.19,0.0,87.61,74.34,80.37,12.34,6.62,22.57,13.5,12.41,1.71,12.22,18.58,3.68
Antioquia (ETC),Antioquia,La Unión,2023,5400,5,3758,4070,94.72,94.69,92.59,92.32,84.63,63.57,99.41,102.16,102.52,102.54,84.57,51.409967545658674,4.1,4.71,3.13,5.6,2.99,89.5,0.72,89.52,85.88,95.14,6.4,7.35,8.52,1.87,6.37,2.17,8.03,7.54,1.31
Antioquia (ETC),Antioquia,Liborina,2023,5411,5,3758,1928,77.18,77.18,55.26,67.21,69.62,52.66,85.11,69.74,78.55,94.2,90.28,45.20661631834878,2.13,1.89,0.95,2.74,3.95,90.96,0.0,91.75,88.87,90.79,6.91,7.3,8.39,5.26,6.14,0.94,7.62,7.71,0.44
Antioquia (ETC),Antioquia,Maceo,2023,5425,5,3758,1683,96.97,96.97,77.48,88.01,80.59,53.57,104.81,90.73,106.68,117.22,80.95,50.70844248243793,2.77,0.73,2.44,3.69,2.76,91.62,0.0,91.67,88.78,95.03,5.6,5.9,7.54,2.21,11.56,0.73,12.31,15.22,4.42
Antioquia (ETC),Antioquia,Marinilla,2023,5440,5,3758,12012,99.61,99.58,86.86,99.52,85.89,54.86,107.68,99.12,111.25,113.0,92.57,53.42261188805185,5.29,5.49,4.75,6.95,2.54,85.87,0.0,89.96,77.12,88.9,8.84,5.29,15.92,8.56,10.12,1.71,9.55,15.48,2.78
Antioquia (ETC),Antioquia,Montebello,2023,5467,5,3758,1132,75.8,75.8,61.36,73.04,62.44,40.11,81.18,71.59,84.93,85.49,67.38,43.98394625146875,3.48,1.59,2.5,5.76,1.59,86.18,0.0,88.0,77.88,96.03,10.34,9.5,16.36,2.38,7.83,0.0,10.25,9.09,0.79
Antioquia (ETC),Antioquia,Murindó,2023,5475,5,3758,1628,75.18,75.18,56.32,72.34,31.19,12.81,88.57,89.08,115.84,63.62,43.84,50.948273953251146,0.68,0.0,0.78,0.87,0.0,82.19,1.29,75.0,96.09,100.0,17.12,24.22,3.04,0.0,16.74,3.87,22.09,6.96,2.7
Antioquia (ETC),Antioquia,Mutatá,2023,5480,5,3758,3876,98.09,98.09,72.25,91.99,74.94,37.08,112.69,104.12,121.54,117.98,79.5,54.968791740755705,5.91,4.22,5.06,7.94,5.78,83.16,0.26,85.66,74.15,86.05,10.93,9.28,17.92,8.16,12.76,8.44,13.03,14.93,7.82
Antioquia (ETC),Antioquia,Nariño,2023,5483,5,3758,2179,65.08,65.08,61.05,61.94,51.54,28.61,69.53,66.28,76.46,71.95,48.16,43.383736717467855,3.5,0.0,2.88,4.48,5.29,89.9,0.0,87.63,89.37,94.12,6.6,9.5,6.16,0.59,10.17,0.88,14.68,8.4,3.53
Antioquia (ETC),Antioquia,Necoclí,2023,5490,5,3758,11723,110.62,110.62,56.3,96.52,97.89,60.3,126.09,113.49,119.9,145.41,109.35,53.05384576393044,5.37,2.5,3.53,7.95,6.27,87.2,0.09,90.9,80.28,87.64,7.43,5.58,11.77,6.09,8.79,3.88,8.89,11.31,4.08
Antioquia (ETC),Antioquia,Nechí,2023,5495,5,3758,7174,85.18,85.18,62.46,77.46,70.13,36.33,97.09,83.23,98.33,109.91,73.61,45.44493061276239,4.95,2.59,3.84,7.26,4.19,87.29,0.0,90.19,80.54,88.27,7.76,5.97,12.2,7.54,9.25,2.77,9.39,12.24,3.18
Antioquia (ETC),Antioquia,Olaya,2023,5501,5,3758,584,81.16,81.16,39.22,77.33,79.59,48.89,87.67,70.59,91.9,94.39,71.11,56.184959169133435,3.52,2.78,4.85,2.16,3.13,86.13,0.0,85.02,83.78,90.63,10.35,10.13,14.05,6.25,9.38,2.78,13.22,8.11,3.13
Antioquia (ETC),Antioquia,Peñol,2023,5541,5,3758,3762,96.12,96.12,88.69,95.32,84.3,54.14,106.54,96.64,104.68,117.33,94.87,48.62961446513714,3.55,4.47,3.37,3.96,2.39,92.87,0.34,93.39,90.68,95.69,3.58,3.24,5.36,1.91,8.1,2.06,8.58,10.15,4.55
Antioquia (ETC),Antioquia,Peque,2023,5543,5,3758,1900,75.32,75.32,63.53,75.46,58.21,30.33,83.11,72.94,92.64,85.2,58.67,43.772506918616955,4.29,3.23,1.72,8.95,3.85,85.34,0.0,85.43,80.13,92.31,10.36,12.85,10.92,3.85,9.75,0.0,12.58,10.26,0.77
Antioquia (ETC),Antioquia,Pueblorrico,2023,5576,5,3758,1685,66.05,66.05,54.48,65.85,57.19,37.14,73.41,67.16,75.22,76.95,64.64,44.647414152222154,4.47,4.44,3.45,6.7,2.03,89.17,0.0,89.27,85.11,95.95,6.36,7.28,8.19,2.03,9.2,1.11,9.96,12.41,2.7
Antioquia (ETC),Antioquia,Puerto Berrío,2023,5579,5,3758,7758,76.53,76.53,61.49,71.62,67.27,44.84,90.06,79.56,86.56,100.15,83.53,45.16879039798209,3.47,5.53,3.3,3.87,1.75,90.15,0.0,90.99,86.59,94.61,6.38,5.72,9.54,3.64,7.3,2.3,9.13,7.79,2.43
Antioquia (ETC),Antioquia,Puerto Nare,2023,5585,5,3758,2812,71.76,71.76,45.73,64.08,58.44,37.08,86.27,64.1,80.53,100.32,83.82,48.066190307519946,5.76,5.33,3.96,8.88,3.38,85.09,0.67,87.08,77.86,93.98,9.15,8.96,13.26,2.63,14.53,3.33,15.42,19.54,3.01
